DATE_TIME,RSAM
2010-04-08,44.807775415
2010-04-09,43.198769483999996
2010-04-10,43.857535152
2010-04-11,45.887217653
2010-04-12,51.793544856000004
2010-04-13,131.26827521
2010-04-14,65.961502785
2010-04-15,90.41922997299999
2010-04-16,52.477441405
2010-04-17,50.248709758000004
2010-04-18,58.718215385
2010-04-19,52.77072248100001
2010-04-20,43.124549371
2010-04-21,47.141389473000004
2010-04-22,49.405933621
2010-04-23,62.019817883
2010-04-24,42.034744654
2010-04-25,41.994884589
2010-04-26,88.664615293
2010-04-27,182.84162528
2010-04-28,46.874304256
2010-04-29,83.06944386100001
2010-04-30,138.56389395
2010-05-01,48.087110421000006
2010-05-02,46.069257823
2010-05-03,79.149674382
2010-05-04,115.28090634
2010-05-05,158.23476363
2010-05-06,66.81526087399999
2010-05-07,77.69162542699999
2010-05-08,55.449939738000005
2010-05-09,43.013377775
2010-05-10,47.415889334
2010-05-11,79.56457930399999
2010-05-12,162.11034133
2010-05-13,117.75128511
2010-05-14,231.34632052
2010-05-15,233.87295228
2010-05-16,220.81254384
2010-05-17,136.06630592
2010-05-18,291.5162236
2010-05-19,275.71819668
2010-05-20,104.84851538
2010-05-21,153.98123732
2010-05-22,153.96255893
2010-05-23,158.91854216
2010-05-24,171.72127293
2010-05-25,181.91290746
2010-05-26,135.73894079
2010-05-27,143.41916838
2010-05-28,152.28533858
2010-05-29,198.12895012
2010-05-30,110.04296913
2010-05-31,219.69454251
2010-06-01,127.74849425
2010-06-02,163.31366049
2010-06-03,227.83427972
2010-06-04,238.38769743
2010-06-05,249.30295483
2010-06-06,796.48348784
2010-06-07,224.27604315
2010-06-08,264.07229408
2010-06-09,90.15379286299999
2010-06-10,259.2677079
2010-06-11,208.01951132
2010-06-12,215.1474869
2010-06-13,211.90943376
2010-06-14,196.00440478
2010-06-15,181.48936818
2010-06-16,140.50135776
2010-06-17,135.30031683
2010-06-18,97.950351041
2010-06-19,102.89857181
2010-06-20,210.17120255
2010-06-21,149.62699396
2010-06-22,125.66127862
2010-06-23,170.15095865
2010-06-24,181.90304283
2010-06-25,142.67570703
2010-06-26,202.99310831
2010-06-27,128.98105384
2010-06-28,139.0035137
2010-06-29,149.79982417
2010-06-30,288.64691436
2010-07-01,195.42162867
2010-07-02,164.7358924
2010-07-03,157.01716494
2010-07-04,80.541634688
2010-07-05,74.08134893399999
2010-07-06,62.362416468
2010-07-07,180.44150065
2010-07-08,158.21332737
2010-07-09,134.34762537
2010-07-10,147.76515376
2010-07-11,120.80552458
2010-07-12,78.681125808
2010-07-13,66.82979229899999
2010-07-14,204.96478192
2010-07-15,153.25596929
2010-07-16,185.12807811
2010-07-17,76.314267992
2010-07-18,46.916943578
2010-07-19,53.514841761999996
2010-07-20,304.19299336
2010-07-21,133.73678295
2010-07-22,88.04479263299999
2010-07-23,76.215741726
2010-07-24,89.685379374
2010-07-25,99.56349670200001
2010-07-26,126.00819752
2010-07-27,138.43319579
2010-07-28,128.25754356
2010-07-29,146.92552587
2010-07-30,104.44343111
2010-07-31,125.97410187
2010-08-01,432.01884388
2010-08-02,292.00377597
2010-08-03,424.00080921
2010-08-04,287.68944088
2010-08-05,184.84418873
2010-08-06,235.27507415
2010-08-07,207.08436365
2010-08-08,100.61148017
2010-08-09,89.730582482
2010-08-10,67.75952933800001
2010-08-11,60.291182946000006
2010-08-12,221.41777602
2010-08-13,269.0593129
2010-08-14,79.564813235
2010-08-15,82.616576335
2010-08-16,105.26686686
2010-08-17,117.50259327
2010-08-18,100.81964898
2010-08-19,56.992078563
2010-08-20,66.04841432100001
2010-08-21,61.481435039
2010-08-22,73.066596182
2010-08-23,95.198240524
2010-08-24,131.16280709
2010-08-25,84.800536148
2010-08-26,52.037623445
2010-08-27,67.121768616
2010-08-28,70.73103792
2010-08-29,61.516255903
2010-08-30,65.62075925100001
2010-08-31,60.083330329
2010-09-01,89.444589185
2010-09-02,115.03024686
2010-09-03,254.91637413
2010-09-04,90.38490885
2010-09-05,231.842097
2010-09-06,215.76504972
2010-09-07,96.32608100799999
2010-09-08,90.337895657
2010-09-09,145.79049071
2010-09-10,55.423193812
2010-09-11,92.53263846
2010-09-12,131.24693383
2010-09-13,121.57180668
2010-09-14,170.73879548
2010-09-15,213.55320228
2010-09-16,255.52577168
2010-09-17,436.73620275
2010-09-18,437.42817825
2010-09-19,191.1575478
2010-09-20,314.08406198
2010-09-21,252.01155132
2010-09-22,187.88910633
2010-09-23,119.0627771
2010-09-24,246.33883394
2010-09-25,124.30400107
2010-09-26,79.214534499
2010-09-27,169.07925801
2010-09-28,246.6239086
2010-09-29,217.61781262
2010-09-30,202.01826965
2010-10-01,173.15330084
2010-10-02,123.3501674
2010-10-03,45.192753992
2010-10-04,50.730153847
2010-10-05,51.644051208
2010-10-06,54.618545733000005
2010-10-07,61.219732793999995
2010-10-08,128.04841226
2010-10-09,73.707325009
2010-10-10,98.12037657100001
2010-10-11,156.69554639
2010-10-12,202.34962198
2010-10-13,110.05015491
2010-10-14,94.670700456
2010-10-15,196.41917866
2010-10-16,150.32476745
2010-10-17,206.54591895
